id,user_id,loan_timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id,name,ssn,birthday,gender,city,zip_code,visit_timestamp,referrer,campaing_name
161424,58806725,1548807940,70000,Refinance existing loans,REJECTED,14.0,20100182,Δημήτρης Μασγαλάς,486-51-2219,1973-05-22,M,Φλώρινα,397 73,,,
163470,33611688,1532162854,250000,Buying a pet,REJECTED,7.0,,Μιλτιάδης Νικητόπουλος,968-60-3464,1992-09-13,F,Καρπενήσι,ΤΚ 39088,,,
165671,13059420,1507041188,220000,Buying a pet,ACCEPTED,6.7,,Μερκούριος Κοττίκας,750-57-9754,1979-03-16,F,Σάμος,41497,,,
174601,62847586,1557070309,280000,Home purchase,REJECTED,6.7,42792103,Κυπριανή Νικολάτου,302-61-9935,1983-08-03,M,Κιλκίς,ΤΚ 59541,1554825196,Twitter,display1
174601,62847586,1557070309,280000,Home purchase,REJECTED,6.7,42792103,Κυπριανή Νικολάτου,302-61-9935,1983-08-03,M,Κιλκίς,ΤΚ 59541,1562843600,Google,display2
177507,79671352,1565460256,180000,Home purchase,ACCEPTED,6.7,,Αμβρόσιος Γιασημάκης,392-10-0951,1992-05-03,M,Κέρκυρα,ΤΚ 11391,,,
177942,26504817,1514816597,200000,Home purchase,ACCEPTED,14.0,,Φλωρεντία Δουλουφάκη,685-65-2253,1977-01-28,M,Φλώρινα,88397,,,
192676,79949150,1567347057,70000,Refinance existing loans,ACCEPTED,6.7,,Διομήδης Αξαόπουλος,761-80-7686,1972-08-11,M,Αλεξανδρούπολη,38225,,,
198819,27667118,1509399696,150000,home purchase,ACCEPTED,6.7,,Αλκμήνη Κωτσιονοπούλου,179-73-7737,1970-12-05,M,Αθήνα,10227,,,
211052,14541881,1538478570,150000,Home purchase,ACCEPTED,8.7,,Συμεωνία Παπασπηλιωτοπούλου,152-51-0564,1986-11-06,F,Άρτα,54075,,,
211822,84344573,1560801984,210000,Buying a pet,REJECTED,8.7,67599718,Κρινιώ Φωτακοπούλου,822-93-7663,1984-11-23,F,Άρτα,ΤΚ 17436,1528301607,Facebook,display3
211822,84344573,1560801984,210000,Buying a pet,REJECTED,8.7,67599718,Κρινιώ Φωτακοπούλου,822-93-7663,1984-11-23,F,Άρτα,ΤΚ 17436,1553547023,Facebook,display1
213630,2722402,1555931867,150000,Home purchase,REJECTED,6.7,,Θεοχαρούλα Τραγούστη,865-75-2738,1996-06-08,F,Αγ. Νικόλαος,422 67,,,
227770,41812705,1547884287,80000,Refinance existing loans,ACCEPTED,8.7,,Πολυχρόνιος Λεμονής,148-81-8334,1979-12-05,F,Λαμία,20933,,,
228679,15167993,1550758783,120000,Buying a pet,ACCEPTED,7.0,,Μάρθα Παπακωνσταντίνου,680-23-0945,1992-10-10,F,Πολύγυρος,ΤΚ 18277,,,
248974,43222209,1510455377,260000,buying a pet,REJECTED,6.7,,Μαντώ Προύβα,759-69-2477,1980-10-10,M,Ιωάννινα,22966,,,
267902,99928578,1516045214,20000,Refinance existing loans,REJECTED,14.0,,Πολύβιος Πλιάτσικας,020-19-8268,1988-09-03,M,Έδεσσα,161 07,,,
269546,64318014,1548173656,280000,Refinance existing loans,REJECTED,8.7,,Κοσμάς Πιπεράκης,778-06-1491,1977-01-05,M,Ερμούπολη,ΤΚ 855 83,,,
269710,1184647,1537276198,290000,Refinance existing loans,ACCEPTED,8.7,,Αντιγόνη Ξανθοπούλου,233-45-7239,1983-12-30,F,Σέρρες,ΤΚ 660 28,,,
271182,678701,1552176107,150000,Buying a pet,REJECTED,7.0,30328335,Δράκων Χαρτερός,794-10-7194,1978-06-16,F,Έδεσσα,ΤΚ 98279,,,
272556,48391769,1553167210,50000,Buying a pet,ACCEPTED,7.0,,Αριστόβουλος-Αναγνώστης Θηβαίος,043-60-4167,1996-07-08,F,Λευκάδα,19510,,,
294164,81965433,1555561787,150000,Home purchase,REJECTED,7.0,46032391,Αριστοφάνης Αβραμιώτης,291-01-3604,1976-09-07,M,Ηγουμενίτσα,ΤΚ 062 87,1514333564,Twitter,display1
315831,15062910,1515432267,100000,Home purchase,REJECTED,8.7,,Λευκοθέα Βαφειάδου,956-77-5931,1976-09-21,M,Κέρκυρα,082 47,,,
316874,87062102,1510334605,100000,home purchase,REJECTED,7.0,,Νεόκλεια Μαρκαντωνάκη,283-33-4724,1982-01-09,M,Ναύπλιο,92234,,,
317787,47942298,1558039808,170000,home purchase,REJECTED,7.0,,Χαραλαμπία Παράνου,418-66-8772,1980-08-28,M,Ξάνθη,233 29,,,
320682,17142747,1527833071,290000,Buying a pet,ACCEPTED,8.7,15333019,Μακάριος Καπούνης,316-97-9022,1982-10-13,M,Τρίκαλα,66975,1558549272,Facebook,display3
320682,17142747,1527833071,290000,Buying a pet,ACCEPTED,8.7,15333019,Μακάριος Καπούνης,316-97-9022,1982-10-13,M,Τρίκαλα,66975,1558966658,Google,display3
327531,40895863,1564784320,190000,Buying a pet,REJECTED,14.0,,Διαλεκτή Λογκάκη,318-46-0354,1990-04-09,M,Βέροια,660 13,,,
327886,87250643,1522862103,150000,Refinance existing loans,ACCEPTED,8.7,,Δανάη Νικολάτου,420-55-9585,1974-04-06,M,Αθήνα,ΤΚ 247 96,,,
336282,20008762,1547646982,280000,Home purchase,ACCEPTED,8.7,299680,Αρτεμισία Ρόγγα,627-10-5720,1982-10-21,F,Κατερίνη,ΤΚ 970 68,,,
341483,76112996,1549023503,150000,Home purchase,ACCEPTED,8.7,,Θεοδόσης-Κυριαζής Σπανός,796-97-4411,1973-03-23,F,Κέρκυρα,188 99,,,
364397,99587395,1511061600,280000,Refinance existing loans,REJECTED,7.0,81519631,Κλαίρη Πέτρου,322-66-3742,1971-01-07,F,Κοζάνη,821 77,,,
377123,50132130,1563715258,270000,Refinance existing loans,REJECTED,7.0,,Αταλάντη-Βαγιανή Ροδίτου,051-58-9034,1970-10-30,F,Κοζάνη,ΤΚ 15384,,,
377368,83777685,1568842677,300000,Buying a pet,REJECTED,7.0,,Αγνή Κουτουζίδου,602-93-4057,1974-01-26,M,Πολύγυρος,71504,,,
380885,6736250,1563290682,280000,Refinance existing loans,REJECTED,14.0,,Βαλέρια Καπανταϊδάκη,563-14-6666,1989-02-25,F,Σάμος,ΤΚ 25044,,,
382939,55769735,1537969826,260000,Home purchase,REJECTED,7.0,17121460,Μαγδαληνός Μανελίδης,337-57-9619,1980-07-12,F,Βέροια,97788,1566460594,Google,display2
386149,51863402,1534472928,20000,Home purchase,REJECTED,7.0,,Ρούσα-Κερασιά Πετσιά,739-08-5476,1996-05-06,F,Μεσολόγγι,ΤΚ 846 57,,,
388917,19053937,1520772563,150000,buying a pet,ACCEPTED,6.7,68318698,Ανδρέας Ζολώτας,975-26-6218,1981-01-29,M,Λάρισα,33678,1507953317,Twitter,display3
388917,19053937,1520772563,150000,buying a pet,ACCEPTED,6.7,68318698,Ανδρέας Ζολώτας,975-26-6218,1981-01-29,M,Λάρισα,33678,1510395780,Google,display3
388917,19053937,1520772563,150000,buying a pet,ACCEPTED,6.7,68318698,Ανδρέας Ζολώτας,975-26-6218,1981-01-29,M,Λάρισα,33678,1532734789,Google,display2
398101,90965862,1542524773,190000,Home purchase,ACCEPTED,6.7,12856308,Ερωφίλη Τσάτη,042-33-6358,1987-01-25,M,Ναύπλιο,53438,1547418245,Google,display1
398101,90965862,1542524773,190000,Home purchase,ACCEPTED,6.7,12856308,Ερωφίλη Τσάτη,042-33-6358,1987-01-25,M,Ναύπλιο,53438,1559385675,Twitter,display1
402608,80095842,1516517673,260000,Buying a pet,ACCEPTED,14.0,,Ναταλία Χαλκίδου,022-71-0724,1986-08-13,M,Αθήνα,57712,,,
403387,11270588,1557811348,150000,Buying a pet,REJECTED,7.0,,Φιλαρέτη Μποζίκη,669-82-9463,1979-12-17,M,Μεσολόγγι,ΤΚ 783 57,,,
406178,44039935,1546311217,280000,Home purchase,REJECTED,14.0,64442600,Λαυρέντιος-Τζανέτος Νάστατος,900-81-9694,1988-08-04,M,Τρίπολη,00401,,,
410968,93920825,1556435607,90000,Refinance existing loans,REJECTED,6.7,,Παρθένα-Χρυσοβαλάντω Κουθούρη,034-97-7561,1994-02-15,M,Θεσσαλονίκη,ΤΚ 86753,,,
417005,18120901,1515985611,210000,Refinance existing loans,REJECTED,7.0,,Πολύμνια Σγουρένα,572-30-5237,1993-09-22,M,Πάτρα,26221,,,
434151,51631571,1566868127,50000,Refinance existing loans,ACCEPTED,7.0,75062087,Χρυσόστομη-Ρουμπίνη Κολαΐτου,326-01-5131,1989-07-23,F,Καρδίτσα,ΤΚ 900 45,1520488502,Twitter,display1
434151,51631571,1566868127,50000,Refinance existing loans,ACCEPTED,7.0,75062087,Χρυσόστομη-Ρουμπίνη Κολαΐτου,326-01-5131,1989-07-23,F,Καρδίτσα,ΤΚ 900 45,1536429123,Twitter,display2
434151,51631571,1566868127,50000,Refinance existing loans,ACCEPTED,7.0,75062087,Χρυσόστομη-Ρουμπίνη Κολαΐτου,326-01-5131,1989-07-23,F,Καρδίτσα,ΤΚ 900 45,1539901772,Facebook,display2
434151,51631571,1566868127,50000,Refinance existing loans,ACCEPTED,7.0,75062087,Χρυσόστομη-Ρουμπίνη Κολαΐτου,326-01-5131,1989-07-23,F,Καρδίτσα,ΤΚ 900 45,1543600800,Facebook,display1
434151,51631571,1566868127,50000,Refinance existing loans,ACCEPTED,7.0,75062087,Χρυσόστομη-Ρουμπίνη Κολαΐτου,326-01-5131,1989-07-23,F,Καρδίτσα,ΤΚ 900 45,1550063663,Twitter,display2
455169,32359759,1557502748,50000,Buying a pet,ACCEPTED,8.7,,Ευστρατία-Θεανώ Καργάκου,876-46-9529,1990-03-27,M,Καρπενήσι,ΤΚ 829 07,,,
463538,42915573,1555800484,120000,Refinance existing loans,ACCEPTED,14.0,54233434,Αρχιμήδης Σοφιανός,828-67-8190,1987-04-15,F,Ηράκλειο,ΤΚ 32670,,,
466122,27667118,1515319560,30000,Buying a pet,ACCEPTED,8.7,35882538,Αλκμήνη Κωτσιονοπούλου,179-73-7737,1970-12-05,M,Αθήνα,10227,1518113650,Google,display1
466122,27667118,1515319560,30000,Buying a pet,ACCEPTED,8.7,35882538,Αλκμήνη Κωτσιονοπούλου,179-73-7737,1970-12-05,M,Αθήνα,10227,1525760651,Facebook,display2
466122,27667118,1515319560,30000,Buying a pet,ACCEPTED,8.7,35882538,Αλκμήνη Κωτσιονοπούλου,179-73-7737,1970-12-05,M,Αθήνα,10227,1552851333,Twitter,display3
466122,27667118,1515319560,30000,Buying a pet,ACCEPTED,8.7,35882538,Αλκμήνη Κωτσιονοπούλου,179-73-7737,1970-12-05,M,Αθήνα,10227,1563855598,Facebook,display3
468924,61434088,1529491554,180000,Refinance existing loans,ACCEPTED,6.7,,Βλαδίμηρος Κωστόπουλος,658-93-5360,1973-04-16,M,Πύργος,34534,,,
491080,85311306,1525705143,210000,Home purchase,REJECTED,6.7,,Πρόδρομος Βαλασίδης,282-78-9605,1994-08-22,M,Σπάρτη,ΤΚ 50281,,,
510429,20887767,1546554333,40000,Refinance existing loans,REJECTED,6.7,65315114,Ανδρόνικος Πέτσας,709-51-4415,1972-03-01,M,Πρέβεζα,37443,1511459109,Facebook,display3
510429,20887767,1546554333,40000,Refinance existing loans,REJECTED,6.7,65315114,Ανδρόνικος Πέτσας,709-51-4415,1972-03-01,M,Πρέβεζα,37443,1542462475,Twitter,display2
510429,20887767,1546554333,40000,Refinance existing loans,REJECTED,6.7,65315114,Ανδρόνικος Πέτσας,709-51-4415,1972-03-01,M,Πρέβεζα,37443,1559109725,Google,display3
516369,62999841,1541193042,60000,Home purchase,ACCEPTED,6.7,,Ευστάθιος-Πανορμίτης Αγγελάκος,474-37-2453,1981-05-30,F,Ηράκλειο,45046,,,
517357,40964304,1518465047,30000,Buying a pet,ACCEPTED,8.7,9984416,Υπαπαντή Ζεγλίνα,333-93-2578,1976-07-19,M,Καρδίτσα,ΤΚ 08730,1556012900,Google,display1
552281,28230288,1516811252,150000,Refinance existing loans,ACCEPTED,7.0,,Χιονιά Πάντζιου,371-62-0649,1972-09-22,F,Γρεβενά,ΤΚ 63371,,,
563684,4477326,1557777870,90000,Refinance existing loans,ACCEPTED,6.7,,Αμβρόσιος Δουβρόπουλος,208-10-8501,1993-12-01,F,Καστοριά,ΤΚ 68717,,,
571033,13154652,1565063585,50000,home purchase,ACCEPTED,8.7,3534690,Ιπποκράτης-Αρίσταρχος Κιούσης,542-13-4966,1975-01-05,M,Πρέβεζα,816 10,1514525187,Facebook,display3
571033,13154652,1565063585,50000,home purchase,ACCEPTED,8.7,3534690,Ιπποκράτης-Αρίσταρχος Κιούσης,542-13-4966,1975-01-05,M,Πρέβεζα,816 10,1547069682,Twitter,display1
571033,13154652,1565063585,50000,home purchase,ACCEPTED,8.7,3534690,Ιπποκράτης-Αρίσταρχος Κιούσης,542-13-4966,1975-01-05,M,Πρέβεζα,816 10,1551980756,Google,display1
571033,13154652,1565063585,50000,home purchase,ACCEPTED,8.7,3534690,Ιπποκράτης-Αρίσταρχος Κιούσης,542-13-4966,1975-01-05,M,Πρέβεζα,816 10,1555756208,Google,display1
576601,26018132,1507282093,190000,Refinance existing loans,REJECTED,14.0,,Αβραάμ Πατμανίδης,996-02-1383,1995-06-30,F,Κιλκίς,86163,,,
585833,26540658,1525679066,80000,Refinance existing loans,REJECTED,14.0,,Αναξαγόρας Αμπατζιάνης,930-92-9242,1994-11-30,M,Κόρινθος,775 11,,,
586626,89360252,1566987204,290000,Buying a pet,ACCEPTED,6.7,,Θεοδότη Φασατάκη,043-12-4329,1980-12-10,M,Καστοριά,ΤΚ 55868,,,
586913,16897300,1539194229,60000,Refinance existing loans,ACCEPTED,6.7,60781513,Πέτρος-Αθηνόδωρος Φερεντίνος,742-66-5492,1970-01-16,F,Λάρισα,60368,1550971642,Facebook,display1
586913,16897300,1539194229,60000,Refinance existing loans,ACCEPTED,6.7,60781513,Πέτρος-Αθηνόδωρος Φερεντίνος,742-66-5492,1970-01-16,F,Λάρισα,60368,1556700332,Twitter,display3
587536,55534485,1568412008,80000,Buying a pet,ACCEPTED,7.0,,Λευκοθέα Μπαλαμπάνη,012-15-4856,1970-03-25,M,Κατερίνη,ΤΚ 450 82,,,
597774,18421413,1550245927,300000,Home purchase,REJECTED,6.7,,Τιμοθέα Φιλίππου,546-88-1049,1979-03-27,F,Σάμος,ΤΚ 329 59,,,
602176,6327129,1527197034,220000,home purchase,ACCEPTED,6.7,,Βαρθολομαίος Πουφτσής,247-89-7758,1991-09-26,F,Αργοστόλι,ΤΚ 151 81,,,
608773,77608488,1519653014,60000,Refinance existing loans,ACCEPTED,7.0,,Κλεόπας Φιλιππάτος,544-57-4384,1992-03-06,M,Έδεσσα,66819,,,
611472,72749406,1522204011,100000,Refinance existing loans,ACCEPTED,14.0,,Μελέτια Ματεντσίδου,827-59-5835,1987-12-29,F,Πύργος,ΤΚ 775 93,,,
615498,72198704,1560392737,150000,Refinance existing loans,ACCEPTED,14.0,,Εμμανουήλ Κουκουβίνος,178-12-5584,1981-03-31,M,Κόρινθος,08426,,,
616345,74068546,1533819013,230000,Buying a pet,REJECTED,14.0,82223012,Στεργιανή Δουλουφάκη,096-55-5918,1971-01-07,F,Κέρκυρα,95578,1523398057,Google,display2
616345,74068546,1533819013,230000,Buying a pet,REJECTED,14.0,82223012,Στεργιανή Δουλουφάκη,096-55-5918,1971-01-07,F,Κέρκυρα,95578,1546280958,Facebook,display1
622366,60099743,1529162453,260000,Home purchase,ACCEPTED,14.0,31778339,Κορνήλιος Πίππας,786-14-5555,1990-03-26,F,Καβάλα,ΤΚ 76322,1529675387,Google,display3
622366,60099743,1529162453,260000,Home purchase,ACCEPTED,14.0,31778339,Κορνήλιος Πίππας,786-14-5555,1990-03-26,F,Καβάλα,ΤΚ 76322,1551765865,Twitter,display3
622366,60099743,1529162453,260000,Home purchase,ACCEPTED,14.0,31778339,Κορνήλιος Πίππας,786-14-5555,1990-03-26,F,Καβάλα,ΤΚ 76322,1563797404,Twitter,display1
622969,83729690,1534011159,270000,Buying a pet,REJECTED,6.7,,Συμέλα Γιαννοπούλου,309-40-9451,1990-09-03,M,Αγ. Νικόλαος,33182,,,
638371,79446523,1546342284,260000,Home purchase,REJECTED,8.7,,Θρασύβουλος Σταθάτος,800-78-2495,1985-07-04,M,Άμφισσα,ΤΚ 126 88,,,
644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,1514645526,Google,display3
644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,1532953984,Google,display1
644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,1542110846,Facebook,display1
644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,72004328,Ηλιάνα-Φρύνη Σακελλαρίου,010-50-6442,1973-12-30,M,Άμφισσα,06202,1556476446,Twitter,display3
649300,58208231,1562921336,150000,Refinance existing loans,REJECTED,8.7,,Χριστιάνα Σπυριδάκη,004-71-5362,1995-12-31,F,Ηγουμενίτσα,89290,,,
650136,73251849,1524392446,180000,Refinance existing loans,REJECTED,7.0,,Ερωτόκριτος Κυπραίος,321-69-9894,1988-05-14,M,Αλεξανδρούπολη,29623,,,
662366,12556605,1554962149,100000,Refinance existing loans,ACCEPTED,14.0,53854682,Όθων Μωρός,581-48-0162,1982-12-21,M,Λαμία,ΤΚ 586 35,1544578702,Twitter,display1
662366,12556605,1554962149,100000,Refinance existing loans,ACCEPTED,14.0,53854682,Όθων Μωρός,581-48-0162,1982-12-21,M,Λαμία,ΤΚ 586 35,1546031092,Google,display2
662366,12556605,1554962149,100000,Refinance existing loans,ACCEPTED,14.0,53854682,Όθων Μωρός,581-48-0162,1982-12-21,M,Λαμία,ΤΚ 586 35,1557191085,Twitter,display3
663944,45392058,1551162530,40000,Refinance existing loans,ACCEPTED,7.0,33155639,Ιωσηφίνα Κυριακοπούλου,382-00-0130,1987-03-27,F,Λευκάδα,54861,1527176558,Twitter,display3
663944,45392058,1551162530,40000,Refinance existing loans,ACCEPTED,7.0,33155639,Ιωσηφίνα Κυριακοπούλου,382-00-0130,1987-03-27,F,Λευκάδα,54861,1555684222,Google,display1
663944,45392058,1551162530,40000,Refinance existing loans,ACCEPTED,7.0,33155639,Ιωσηφίνα Κυριακοπούλου,382-00-0130,1987-03-27,F,Λευκάδα,54861,1558149546,Google,display2
664780,64867050,1510606119,280000,home purchase,ACCEPTED,14.0,,Φεβρωνία Αλυσανδράτου,696-45-5100,1986-06-07,M,Λαμία,03630,,,
672520,48857518,1554264844,170000,Home purchase,ACCEPTED,6.7,,Ήρα Ψυρρή,829-76-9534,1994-08-24,M,Έδεσσα,480 37,,,
673972,55383505,1561955211,90000,Refinance existing loans,ACCEPTED,8.7,,Όμηρος Χατζησάββας,073-00-1105,1973-04-29,M,Καρπενήσι,85899,,,
674658,47845398,1558274505,80000,Refinance existing loans,ACCEPTED,6.7,73914059,Βαρθολομαίος Σολακούδης,396-51-0153,1977-06-04,M,Καρδίτσα,45545,1512667316,Facebook,display2
674658,47845398,1558274505,80000,Refinance existing loans,ACCEPTED,6.7,73914059,Βαρθολομαίος Σολακούδης,396-51-0153,1977-06-04,M,Καρδίτσα,45545,1533214949,Google,display3
674658,47845398,1558274505,80000,Refinance existing loans,ACCEPTED,6.7,73914059,Βαρθολομαίος Σολακούδης,396-51-0153,1977-06-04,M,Καρδίτσα,45545,1552064920,Facebook,display3
674658,47845398,1558274505,80000,Refinance existing loans,ACCEPTED,6.7,73914059,Βαρθολομαίος Σολακούδης,396-51-0153,1977-06-04,M,Καρδίτσα,45545,1569096384,Facebook,display1
680960,27628323,1536581950,280000,home purchase,REJECTED,7.0,,Ήλια Μπαλαμπάνη,547-74-8268,1995-10-09,M,Ρόδος,61623,,,
681185,5269916,1508645067,260000,buying a pet,REJECTED,6.7,,Διομήδης Στεργιαλής,740-32-6821,1981-11-20,F,Κοζάνη,85721,,,
690299,92995308,1542155607,210000,Home purchase,ACCEPTED,8.7,,Ζηνόβιος Μαυροειδάκος,341-86-3864,1996-01-04,M,Αργοστόλι,ΤΚ 63586,,,
713647,30105117,1563724057,180000,Refinance existing loans,ACCEPTED,8.7,,Ευρυδίκη Πορφυριάδου,099-51-6726,1985-10-13,M,Λιβαδιά,ΤΚ 78078,,,
719804,70968703,1543109690,170000,Refinance existing loans,REJECTED,7.0,,Βαρσάμος Τερζής,363-69-4449,1984-04-13,M,Λάρισα,057 20,,,
719963,14094836,1519240462,250000,Home purchase,ACCEPTED,14.0,,Εύκλεια Καραογλάνη,720-29-8504,1970-05-02,F,Δράμα,ΤΚ 620 85,,,
720580,46792895,1518812161,270000,Refinance existing loans,REJECTED,14.0,43623554,Ναπολέων Γιατρομανωλάκης,925-00-0112,1989-03-16,F,Βόλος,93002,1555930009,Twitter,display2
726307,35103656,1553877888,210000,Refinance existing loans,REJECTED,8.7,8621144,Λάζαρος-Χαράλαμπος Τριαντακωνσταντής,930-81-1665,1978-08-23,M,Ηγουμενίτσα,ΤΚ 021 74,1516089956,Facebook,display3
733997,3703219,1530987301,250000,Home purchase,ACCEPTED,7.0,52928089,Πάτροκλος-Εφραίμ Σκουλαρίδης,396-29-9392,1991-02-26,M,Αθήνα,ΤΚ 94844,1541737048,Twitter,display3
734723,54047477,1521970731,260000,Refinance existing loans,ACCEPTED,7.0,,Αστέριος Ρέππος,249-73-4005,1976-06-18,M,Ηράκλειο,371 82,,,
